TS,Channel1,Channel2,Channel3,Channel4,Ref1,Ref2,Ref3,,IndexId
20:25:24,946.43,273.27,-102,-431.91,0,0,0,,83
20:25:24,983.21,321.63,-59.12,-389.67,0,0,0,,84
20:25:24,990.69,336.64,-91.91,-427.92,0,0,0,,85
20:25:24,947.72,269.74,-122.95,-451.9,0,0,0,,86
20:25:24,980.07,292.86,-56.67,-384.86,0,0,0,,87
20:25:24,1005.64,363.55,-71.59,-401.38,0,0,0,,88
20:25:24,961.31,280.34,-125.2,-454.97,0,0,0,,89
20:25:24,948.75,269.42,-88.47,-416.78,0,0,0,,90
20:25:24,1001.73,334.03,-66.86,-393.35,0,0,0,,91
20:25:24,979.2,310.94,-112.38,-439.67,0,0,0,,92
20:25:24,941.33,282.24,-112.78,-436.83,0,0,0,,93
20:25:24,989.72,309.62,-59.99,-387.71,0,0,0,,94
20:25:24,1001.16,329.21,-89.92,-420.34,0,0,0,,95
20:25:24,958.56,289.5,-111.91,-437.58,0,0,0,,96
20:25:24,967.57,305.42,-63.93,-390.87,0,0,0,,97
20:25:24,1005.31,323.14,-77.27,-406.46,0,0,0,,98
20:25:24,952.32,297.63,-127.98,-459.55,0,0,0,,99
20:25:24,955.13,269.4,-86.18,-409.07,0,0,0,,100
20:25:24,1001.91,338.92,-63.07,-391.69,0,0,0,,101
20:25:24,982.07,321.15,-106.38,-440.54,0,0,0,,102
20:25:24,947.08,256.4,-111.26,-440.68,0,0,0,,103
20:25:24,987.94,316.03,-57.51,-384.83,0,0,0,,104
20:25:24,994.34,336.1,-96.85,-432.92,0,0,0,,105
20:25:24,946.88,282.03,-124.74,-452.85,0,0,0,,106
20:25:24,980.21,283.49,-56.67,-386.21,0,0,0,,107
20:25:24,1009.17,346.1,-68.33,-400.69,0,0,0,,108
20:25:24,959.61,290.19,-124.58,-453.07,0,0,0,,109
20:25:24,954.4,285.6,-80.66,-405.36,0,0,0,,110
20:25:24,1005.71,333.93,-57.56,-386.97,0,0,0,,111
20:25:24,977.38,308.62,-112.41,-444.66,0,0,0,,112
20:25:24,939.46,263.4,-113.89,-439.89,0,0,0,,113
20:25:24,997.06,314.6,-51.92,-376.93,0,0,0,,114
20:25:24,998.56,331.08,-92.55,-426.72,0,0,0,,115
20:25:24,947.28,277.42,-126.03,-451.54,0,0,0,,116
20:25:24,967.46,302.42,-66.16,-393.15,0,0,0,,117
20:25:24,997.42,320.6,-83.35,-416.03,0,0,0,,118
20:25:24,962.87,288.39,-125.72,-455.77,0,0,0,,119
20:25:24,955.14,295.27,-84.65,-408.07,0,0,0,,120
20:25:24,1010.95,325.4,-59.31,-388.7,0,0,0,,121
20:25:24,981.35,316.26,-112.42,-439.01,0,0,0,,122
20:25:24,945.31,266.63,-105.56,-433.18,0,0,0,,123
20:25:24,981.85,337.25,-59.38,-381.91,0,0,0,,124
20:25:24,1001.36,317.75,-92.75,-425.11,0,0,0,,125
20:25:24,949.18,271.59,-124.89,-452.14,0,0,0,,126
20:25:24,974.46,304.29,-56.3,-390.81,0,0,0,,127
20:25:24,1006.82,335.2,-75.79,-403.37,0,0,0,,128
20:25:24,969.08,287.43,-117.74,-447.61,0,0,0,,129
20:25:24,952.74,292.41,-83.91,-412.41,0,0,0,,130
20:25:24,1010.91,339.03,-46.67,-382.02,0,0,0,,131
20:25:24,983.75,338.11,-100.72,-434.24,0,0,0,,132
20:25:24,952.71,270.75,-98.14,-428.37,0,0,0,,133
20:25:24,997.71,337.98,-51.81,-377.57,0,0,0,,134
20:25:24,1004.9,311.66,-95.03,-422.95,0,0,0,,135
20:25:24,947.63,271.97,-123.18,-452.75,0,0,0,,136
20:25:24,972.47,299.6,-64.06,-396.37,0,0,0,,137
20:25:24,1006.5,331.33,-77.18,-404.14,0,0,0,,138
20:25:24,959.68,294.57,-126.38,-459.6,0,0,0,,139
20:25:24,946.21,299.36,-86.67,-414.35,0,0,0,,140
20:25:24,1000.96,323.45,-64.21,-395.46,0,0,0,,141
20:25:24,984.27,305.53,-111.46,-439.46,0,0,0,,142
20:25:24,953.28,274.93,-102.43,-425.14,0,0,0,,143
20:25:24,994.78,322.29,-52.9,-381.32,0,0,0,,144
20:25:24,997.34,346.45,-92.25,-421.81,0,0,0,,145
20:25:24,946.12,267.98,-127.41,-454.11,0,0,0,,146
20:25:24,968.43,287.5,-71.84,-398.53,0,0,0,,147
20:25:24,1008.5,337.17,-74.97,-403.23,0,0,0,,148
20:25:24,958.32,303.27,-125.96,-456.65,0,0,0,,149
20:25:24,948.28,280.82,-88.18,-412.46,0,0,0,,150
20:25:24,1000.87,344.23,-65.37,-394.66,0,0,0,,151
20:25:24,986.81,313.47,-111.23,-437.75,0,0,0,,152
20:25:24,953.41,260.56,-105.1,-435.56,0,0,0,,153
20:25:24,991.37,314.15,-57.97,-387.75,0,0,0,,154
20:25:24,1010.12,352.29,-81.8,-407.02,0,0,0,,155
20:25:24,966.35,293.05,-114.08,-439.84,0,0,0,,156
20:25:25,974.31,306.65,-68.35,-394.24,0,0,0,,157
20:25:25,1009.12,336.33,-74.68,-408.45,0,0,0,,158
20:25:25,961.82,297.91,-130.32,-455.46,0,0,0,,159
20:25:25,948.06,260.18,-95.9,-420.86,0,0,0,,160
20:25:25,1003.16,324.72,-63.84,-396.34,0,0,0,,161
20:25:25,982.08,310.72,-114.56,-441.64,0,0,0,,162
20:25:25,948.29,267.18,-102.73,-431.49,0,0,0,,163
20:25:25,992.83,318.41,-54.5,-385.94,0,0,0,,164
20:25:25,1001.34,337.27,-90.68,-417.13,0,0,0,,165
20:25:25,955.12,284.49,-117.05,-438.35,0,0,0,,166
20:25:25,972.88,302.76,-54.56,-385.19,0,0,0,,167
20:25:25,1004.22,326.29,-78.73,-408.83,0,0,0,,168
20:25:25,964.51,297.52,-115.2,-449.61,0,0,0,,169
20:25:25,957.12,272.94,-84.41,-413.64,0,0,0,,170
20:25:25,1000.3,325.62,-67.14,-395.5,0,0,0,,171
20:25:25,987.57,320.46,-105.9,-435.78,0,0,0,,172
20:25:25,940.45,288.49,-111.42,-437,0,0,0,,173
20:25:25,992.2,329.49,-51.21,-376.93,0,0,0,,174
20:25:25,1003.53,304.55,-93.54,-422.99,0,0,0,,175
20:25:25,950.96,287.67,-114.58,-447.56,0,0,0,,176
20:25:25,967.65,297.46,-73.26,-396.87,0,0,0,,177
20:25:25,1013.18,345.67,-69.6,-401.56,0,0,0,,178
20:25:25,987.79,302.63,-100.65,-429.96,0,0,0,,179
20:25:25,945.19,284.83,-96.93,-421.5,0,0,0,,180
20:25:25,1012.19,327.91,-54.25,-384.44,0,0,0,,181
20:25:25,982.76,298.56,-113.4,-446.65,0,0,0,,182
20:25:25,936.74,272.5,-117.85,-450.44,0,0,0,,183
