Unix Time Code,Time/Date,Channel 1,Latitude,Longitude,Device,OS,Hardware,Firmware,MAC Address,Name
91423,2019-07-30 07:53:09,4196.923077,22.67210911,22.67210911,,,,,,
91426,2019-07-30 07:53:09,4190.25641,22.67210911,22.67210911,,,,,,
91428,2019-07-30 07:53:09,4192.820513,22.67210911,22.67210911,,,,,,
91429,2019-07-30 07:53:09,4195.897436,22.67210911,22.67210911,,,,,,
91430,2019-07-30 07:53:09,4188.205128,22.67210911,22.67210911,,,,,,
91431,2019-07-30 07:53:09,4184.102564,22.67210911,22.67210911,,,,,,
91432,2019-07-30 07:53:09,4190.25641,22.67210911,22.67210911,,,,,,
91434,2019-07-30 07:53:09,4190.25641,22.67210911,22.67210911,,,,,,
91435,2019-07-30 07:53:09,4179.487179,22.67210911,22.67210911,,,,,,
91436,2019-07-30 07:53:09,4184.615385,22.67210911,22.67210911,,,,,,
91437,2019-07-30 07:53:09,4199.487179,22.67210911,22.67210911,,,,,,
91439,2019-07-30 07:53:09,4198.461538,22.67210911,22.67210911,,,,,,
91440,2019-07-30 07:53:09,4191.794872,22.67210911,22.67210911,,,,,,
91441,2019-07-30 07:53:09,4188.205128,22.67210911,22.67210911,,,,,,
91442,2019-07-30 07:53:09,4187.692308,22.67210911,22.67210911,,,,,,
91444,2019-07-30 07:53:09,4188.717949,22.67210911,22.67210911,,,,,,
91445,2019-07-30 07:53:09,4183.589744,22.67210911,22.67210911,,,,,,
91446,2019-07-30 07:53:09,4182.564103,22.67210911,22.67210911,,,,,,
91447,2019-07-30 07:53:09,4185.128205,22.67210911,22.67210911,,,,,,
91448,2019-07-30 07:53:09,4184.102564,22.67210911,22.67210911,,,,,,
91449,2019-07-30 07:53:09,4183.589744,22.67210911,22.67210911,,,,,,
91450,2019-07-30 07:53:09,4179.487179,22.67210911,22.67210911,,,,,,
91451,2019-07-30 07:53:09,4176.410256,22.67210911,22.67210911,,,,,,
91452,2019-07-30 07:53:09,4183.076923,22.67210911,22.67210911,,,,,,
91454,2019-07-30 07:53:09,4187.692308,22.67210911,22.67210911,,,,,,
91455,2019-07-30 07:53:09,4184.102564,22.67210911,22.67210911,,,,,,
91456,2019-07-30 07:53:09,4177.948718,22.67210911,22.67210911,,,,,,
91457,2019-07-30 07:53:09,4187.179487,22.67210911,22.67210911,,,,,,
91458,2019-07-30 07:53:09,4200,22.67210911,22.67210911,,,,,,
91460,2019-07-30 07:53:09,4200,22.67210911,22.67210911,,,,,,
91461,2019-07-30 07:53:09,4201.025641,22.67210911,22.67210911,,,,,,
91462,2019-07-30 07:53:09,4208.717949,22.67210911,22.67210911,,,,,,
91463,2019-07-30 07:53:09,4219.487179,22.67210911,22.67210911,,,,,,
91464,2019-07-30 07:53:09,4222.564103,22.67210911,22.67210911,,,,,,
91465,2019-07-30 07:53:09,4218.974359,22.67210911,22.67210911,,,,,,
91466,2019-07-30 07:53:09,4220.512821,22.67210911,22.67210911,,,,,,
91467,2019-07-30 07:53:09,4219.487179,22.67210911,22.67210911,,,,,,
91468,2019-07-30 07:53:09,4217.948718,22.67210911,22.67210911,,,,,,
91469,2019-07-30 07:53:09,4227.179487,22.67210911,22.67210911,,,,,,
91470,2019-07-30 07:53:09,4240.512821,22.67210911,22.67210911,,,,,,
91470,2019-07-30 07:53:09,4248.205128,22.67210911,22.67210911,,,,,,
91471,2019-07-30 07:53:09,4247.179487,22.67210911,22.67210911,,,,,,
91473,2019-07-30 07:53:09,4253.846154,22.67210911,22.67210911,,,,,,
91474,2019-07-30 07:53:09,4269.230769,22.67210911,22.67210911,,,,,,
91475,2019-07-30 07:53:09,4270.769231,22.67210911,22.67210911,,,,,,
91475,2019-07-30 07:53:09,4266.666667,22.67210911,22.67210911,,,,,,
91476,2019-07-30 07:53:09,4272.307692,22.67210911,22.67210911,,,,,,
91477,2019-07-30 07:53:09,4282.564103,22.67210911,22.67210911,,,,,,
91478,2019-07-30 07:53:09,4283.076923,22.67210911,22.67210911,,,,,,
91479,2019-07-30 07:53:09,4274.871795,22.67210911,22.67210911,,,,,,
91479,2019-07-30 07:53:09,4274.358974,22.67210911,22.67210911,,,,,,
91480,2019-07-30 07:53:09,4272.820513,22.67210911,22.67210911,,,,,,
91481,2019-07-30 07:53:09,4266.666667,22.67210911,22.67210911,,,,,,
91482,2019-07-30 07:53:09,4267.179487,22.67210911,22.67210911,,,,,,
91483,2019-07-30 07:53:09,4268.717949,22.67210911,22.67210911,,,,,,
91484,2019-07-30 07:53:09,4267.692308,22.67210911,22.67210911,,,,,,
91485,2019-07-30 07:53:09,4258.461538,22.67210911,22.67210911,,,,,,
91485,2019-07-30 07:53:09,4245.641026,22.67210911,22.67210911,,,,,,
91486,2019-07-30 07:53:09,4244.102564,22.67210911,22.67210911,,,,,,
91487,2019-07-30 07:53:09,4238.974359,22.67210911,22.67210911,,,,,,
91488,2019-07-30 07:53:09,4228.205128,22.67210911,22.67210911,,,,,,
91489,2019-07-30 07:53:09,4228.717949,22.67210911,22.67210911,,,,,,
91489,2019-07-30 07:53:09,4237.435897,22.67210911,22.67210911,,,,,,
91490,2019-07-30 07:53:09,4242.051282,22.67210911,22.67210911,,,,,,
91491,2019-07-30 07:53:09,4236.410256,22.67210911,22.67210911,,,,,,
91492,2019-07-30 07:53:09,4233.333333,22.67210911,22.67210911,,,,,,
91493,2019-07-30 07:53:09,4232.820513,22.67210911,22.67210911,,,,,,
91493,2019-07-30 07:53:09,4228.717949,22.67210911,22.67210911,,,,,,
91494,2019-07-30 07:53:09,4230.769231,22.67210911,22.67210911,,,,,,
91495,2019-07-30 07:53:09,4232.307692,22.67210911,22.67210911,,,,,,
91496,2019-07-30 07:53:09,4229.230769,22.67210911,22.67210911,,,,,,
91497,2019-07-30 07:53:09,4227.692308,22.67210911,22.67210911,,,,,,
91497,2019-07-30 07:53:09,4230.25641,22.67210911,22.67210911,,,,,,
91498,2019-07-30 07:53:09,4236.410256,22.67210911,22.67210911,,,,,,
91499,2019-07-30 07:53:09,4235.897436,22.67210911,22.67210911,,,,,,
91500,2019-07-30 07:53:09,4233.333333,22.67210911,22.67210911,,,,,,
91501,2019-07-30 07:53:09,4237.948718,22.67210911,22.67210911,,,,,,
91501,2019-07-30 07:53:09,4241.538462,22.67210911,22.67210911,,,,,,
91502,2019-07-30 07:53:09,4244.102564,22.67210911,22.67210911,,,,,,
91503,2019-07-30 07:53:09,4244.615385,22.67210911,22.67210911,,,,,,
91504,2019-07-30 07:53:09,4238.974359,22.67210911,22.67210911,,,,,,
91505,2019-07-30 07:53:09,4233.333333,22.67210911,22.67210911,,,,,,
91506,2019-07-30 07:53:09,4226.153846,22.67210911,22.67210911,,,,,,
91506,2019-07-30 07:53:09,4224.102564,22.67210911,22.67210911,,,,,,
91507,2019-07-30 07:53:09,4226.153846,22.67210911,22.67210911,,,,,,
91508,2019-07-30 07:53:09,4224.102564,22.67210911,22.67210911,,,,,,
91509,2019-07-30 07:53:09,4225.128205,22.67210911,22.67210911,,,,,,
91509,2019-07-30 07:53:09,4227.179487,22.67210911,22.67210911,,,,,,
91510,2019-07-30 07:53:09,4229.230769,22.67210911,22.67210911,,,,,,
91511,2019-07-30 07:53:09,4233.846154,22.67210911,22.67210911,,,,,,
91512,2019-07-30 07:53:09,4236.410256,22.67210911,22.67210911,,,,,,
91513,2019-07-30 07:53:09,4238.974359,22.67210911,22.67210911,,,,,,
91514,2019-07-30 07:53:09,4241.025641,22.67210911,22.67210911,,,,,,
91514,2019-07-30 07:53:09,4251.282051,22.67210911,22.67210911,,,,,,
91515,2019-07-30 07:53:09,4256.923077,22.67210911,22.67210911,,,,,,
91516,2019-07-30 07:53:09,4243.589744,22.67210911,22.67210911,,,,,,
91517,2019-07-30 07:53:09,4238.461538,22.67210911,22.67210911,,,,,,
91518,2019-07-30 07:53:09,4238.461538,22.67210911,22.67210911,,,,,,
91518,2019-07-30 07:53:09,4231.282051,22.67210911,22.67210911,,,,,,
91519,2019-07-30 07:53:09,4234.871795,22.67210911,22.67210911,,,,,,
91520,2019-07-30 07:53:09,4250.25641,22.67210911,22.67210911,,,,,,
91521,2019-07-30 07:53:09,4258.461538,22.67210911,22.67210911,,,,,,
91522,2019-07-30 07:53:09,4257.435897,22.67210911,22.67210911,,,,,,
91523,2019-07-30 07:53:09,4258.974359,22.67210911,22.67210911,,,,,,
91524,2019-07-30 07:53:09,4262.051282,22.67210911,22.67210911,,,,,,
91524,2019-07-30 07:53:09,4261.025641,22.67210911,22.67210911,,,,,,
91525,2019-07-30 07:53:09,4263.589744,22.67210911,22.67210911,,,,,,
91526,2019-07-30 07:53:09,4266.666667,22.67210911,22.67210911,,,,,,
91526,2019-07-30 07:53:09,4266.153846,22.67210911,22.67210911,,,,,,
91527,2019-07-30 07:53:09,4266.666667,22.67210911,22.67210911,,,,,,
91528,2019-07-30 07:53:09,4262.051282,22.67210911,22.67210911,,,,,,
91528,2019-07-30 07:53:09,4258.974359,22.67210911,22.67210911,,,,,,
91529,2019-07-30 07:53:09,4264.615385,22.67210911,22.67210911,,,,,,
91530,2019-07-30 07:53:09,4272.820513,22.67210911,22.67210911,,,,,,
91530,2019-07-30 07:53:09,4266.153846,22.67210911,22.67210911,,,,,,
91531,2019-07-30 07:53:09,4249.230769,22.67210911,22.67210911,,,,,,
91532,2019-07-30 07:53:09,4257.435897,22.67210911,22.67210911,,,,,,
91533,2019-07-30 07:53:09,4272.307692,22.67210911,22.67210911,,,,,,
91533,2019-07-30 07:53:09,4260,22.67210911,22.67210911,,,,,,
91534,2019-07-30 07:53:09,4247.692308,22.67210911,22.67210911,,,,,,
91535,2019-07-30 07:53:09,4249.230769,22.67210911,22.67210911,,,,,,
91535,2019-07-30 07:53:09,4258.974359,22.67210911,22.67210911,,,,,,
91536,2019-07-30 07:53:09,4267.692308,22.67210911,22.67210911,,,,,,
91537,2019-07-30 07:53:09,4268.205128,22.67210911,22.67210911,,,,,,
91538,2019-07-30 07:53:09,4267.179487,22.67210911,22.67210911,,,,,,
91538,2019-07-30 07:53:09,4262.051282,22.67210911,22.67210911,,,,,,
91539,2019-07-30 07:53:09,4255.897436,22.67210911,22.67210911,,,,,,
91539,2019-07-30 07:53:09,4256.923077,22.67210911,22.67210911,,,,,,
91540,2019-07-30 07:53:09,4260,22.67210911,22.67210911,,,,,,
91541,2019-07-30 07:53:09,4262.564103,22.67210911,22.67210911,,,,,,
91541,2019-07-30 07:53:09,4257.948718,22.67210911,22.67210911,,,,,,
91542,2019-07-30 07:53:09,4248.205128,22.67210911,22.67210911,,,,,,
91543,2019-07-30 07:53:09,4244.615385,22.67210911,22.67210911,,,,,,
91544,2019-07-30 07:53:09,4245.128205,22.67210911,22.67210911,,,,,,
91544,2019-07-30 07:53:09,4245.128205,22.67210911,22.67210911,,,,,,
91545,2019-07-30 07:53:09,4247.179487,22.67210911,22.67210911,,,,,,
91546,2019-07-30 07:53:09,4255.897436,22.67210911,22.67210911,,,,,,
91546,2019-07-30 07:53:09,4264.615385,22.67210911,22.67210911,,,,,,
91547,2019-07-30 07:53:09,4265.641026,22.67210911,22.67210911,,,,,,
91548,2019-07-30 07:53:09,4267.179487,22.67210911,22.67210911,,,,,,
91548,2019-07-30 07:53:09,4260.512821,22.67210911,22.67210911,,,,,,
91549,2019-07-30 07:53:09,4249.230769,22.67210911,22.67210911,,,,,,
91550,2019-07-30 07:53:09,4252.820513,22.67210911,22.67210911,,,,,,
91550,2019-07-30 07:53:09,4262.564103,22.67210911,22.67210911,,,,,,
91551,2019-07-30 07:53:09,4265.128205,22.67210911,22.67210911,,,,,,
91552,2019-07-30 07:53:09,4255.384615,22.67210911,22.67210911,,,,,,
91552,2019-07-30 07:53:09,4245.641026,22.67210911,22.67210911,,,,,,
91553,2019-07-30 07:53:09,4251.794872,22.67210911,22.67210911,,,,,,
91554,2019-07-30 07:53:09,4256.923077,22.67210911,22.67210911,,,,,,
91554,2019-07-30 07:53:09,4254.358974,22.67210911,22.67210911,,,,,,
91555,2019-07-30 07:53:09,4243.589744,22.67210911,22.67210911,,,,,,
91556,2019-07-30 07:53:09,4229.74359,22.67210911,22.67210911,,,,,,
91556,2019-07-30 07:53:09,4231.794872,22.67210911,22.67210911,,,,,,
91557,2019-07-30 07:53:09,4236.410256,22.67210911,22.67210911,,,,,,
91558,2019-07-30 07:53:09,4230.25641,22.67210911,22.67210911,,,,,,
91558,2019-07-30 07:53:09,4230.25641,22.67210911,22.67210911,,,,,,
91559,2019-07-30 07:53:09,4235.897436,22.67210911,22.67210911,,,,,,
91560,2019-07-30 07:53:09,4237.435897,22.67210911,22.67210911,,,,,,
91560,2019-07-30 07:53:09,4235.384615,22.67210911,22.67210911,,,,,,
91561,2019-07-30 07:53:09,4233.846154,22.67210911,22.67210911,,,,,,
91562,2019-07-30 07:53:09,4233.846154,22.67210911,22.67210911,,,,,,
91562,2019-07-30 07:53:09,4234.871795,22.67210911,22.67210911,,,,,,
91563,2019-07-30 07:53:09,4238.974359,22.67210911,22.67210911,,,,,,
91564,2019-07-30 07:53:09,4235.897436,22.67210911,22.67210911,,,,,,
91564,2019-07-30 07:53:09,4225.641026,22.67210911,22.67210911,,,,,,
91565,2019-07-30 07:53:09,4221.538462,22.67210911,22.67210911,,,,,,
91566,2019-07-30 07:53:09,4216.923077,22.67210911,22.67210911,,,,,,
91566,2019-07-30 07:53:09,4218.461538,22.67210911,22.67210911,,,,,,
91567,2019-07-30 07:53:09,4227.179487,22.67210911,22.67210911,,,,,,
91568,2019-07-30 07:53:09,4230.769231,22.67210911,22.67210911,,,,,,
91568,2019-07-30 07:53:09,4232.820513,22.67210911,22.67210911,,,,,,
91569,2019-07-30 07:53:09,4233.333333,22.67210911,22.67210911,,,,,,
91570,2019-07-30 07:53:09,4233.333333,22.67210911,22.67210911,,,,,,
91570,2019-07-30 07:53:09,4236.410256,22.67210911,22.67210911,,,,,,
91571,2019-07-30 07:53:09,4239.487179,22.67210911,22.67210911,,,,,,
91572,2019-07-30 07:53:09,4235.897436,22.67210911,22.67210911,,,,,,
91572,2019-07-30 07:53:09,4221.538462,22.67210911,22.67210911,,,,,,
91573,2019-07-30 07:53:09,4217.948718,22.67210911,22.67210911,,,,,,
91574,2019-07-30 07:53:09,4225.128205,22.67210911,22.67210911,,,,,,
91575,2019-07-30 07:53:09,4225.128205,22.67210911,22.67210911,,,,,,
91575,2019-07-30 07:53:09,4228.205128,22.67210911,22.67210911,,,,,,
91576,2019-07-30 07:53:09,4233.846154,22.67210911,22.67210911,,,,,,
91577,2019-07-30 07:53:09,4235.384615,22.67210911,22.67210911,,,,,,
91577,2019-07-30 07:53:09,4230.769231,22.67210911,22.67210911,,,,,,
91578,2019-07-30 07:53:09,4227.692308,22.67210911,22.67210911,,,,,,
91579,2019-07-30 07:53:09,4239.487179,22.67210911,22.67210911,,,,,,
91579,2019-07-30 07:53:09,4244.102564,22.67210911,22.67210911,,,,,,
91580,2019-07-30 07:53:09,4239.487179,22.67210911,22.67210911,,,,,,
91581,2019-07-30 07:53:09,4238.974359,22.67210911,22.67210911,,,,,,
91581,2019-07-30 07:53:09,4238.461538,22.67210911,22.67210911,,,,,,
91582,2019-07-30 07:53:09,4236.410256,22.67210911,22.67210911,,,,,,
91583,2019-07-30 07:53:09,4236.410256,22.67210911,22.67210911,,,,,,
91583,2019-07-30 07:53:09,4241.025641,22.67210911,22.67210911,,,,,,
91584,2019-07-30 07:53:09,4244.102564,22.67210911,22.67210911,,,,,,
91585,2019-07-30 07:53:09,4240.512821,22.67210911,22.67210911,,,,,,
91586,2019-07-30 07:53:09,4240.512821,22.67210911,22.67210911,,,,,,
91586,2019-07-30 07:53:09,4241.538462,22.67210911,22.67210911,,,,,,
91587,2019-07-30 07:53:09,4242.051282,22.67210911,22.67210911,,,,,,
91588,2019-07-30 07:53:09,4248.717949,22.67210911,22.67210911,,,,,,
91588,2019-07-30 07:53:09,4248.717949,22.67210911,22.67210911,,,,,,
91589,2019-07-30 07:53:09,4238.461538,22.67210911,22.67210911,,,,,,
91590,2019-07-30 07:53:09,4231.794872,22.67210911,22.67210911,,,,,,
91590,2019-07-30 07:53:09,4235.384615,22.67210911,22.67210911,,,,,,
91591,2019-07-30 07:53:09,4236.410256,22.67210911,22.67210911,,,,,,
91592,2019-07-30 07:53:09,4225.641026,22.67210911,22.67210911,,,,,,
91592,2019-07-30 07:53:09,4224.615385,22.67210911,22.67210911,,,,,,
91593,2019-07-30 07:53:09,4233.846154,22.67210911,22.67210911,,,,,,
91594,2019-07-30 07:53:09,4236.923077,22.67210911,22.67210911,,,,,,
91594,2019-07-30 07:53:09,4238.461538,22.67210911,22.67210911,,,,,,
91595,2019-07-30 07:53:09,4235.384615,22.67210911,22.67210911,,,,,,
91596,2019-07-30 07:53:09,4232.307692,22.67210911,22.67210911,,,,,,
91596,2019-07-30 07:53:09,4236.923077,22.67210911,22.67210911,,,,,,
91597,2019-07-30 07:53:09,4240.512821,22.67210911,22.67210911,,,,,,
91598,2019-07-30 07:53:09,4241.538462,22.67210911,22.67210911,,,,,,
91598,2019-07-30 07:53:09,4246.666667,22.67210911,22.67210911,,,,,,
91599,2019-07-30 07:53:09,4253.846154,22.67210911,22.67210911,,,,,,
91600,2019-07-30 07:53:09,4250.769231,22.67210911,22.67210911,,,,,,
91601,2019-07-30 07:53:09,4243.589744,22.67210911,22.67210911,,,,,,
91601,2019-07-30 07:53:09,4257.435897,22.67210911,22.67210911,,,,,,
91602,2019-07-30 07:53:09,4272.307692,22.67210911,22.67210911,,,,,,
91603,2019-07-30 07:53:09,4272.307692,22.67210911,22.67210911,,,,,,
91604,2019-07-30 07:53:09,4276.410256,22.67210911,22.67210911,,,,,,
91604,2019-07-30 07:53:09,4275.897436,22.67210911,22.67210911,,,,,,
91605,2019-07-30 07:53:09,4270.25641,22.67210911,22.67210911,,,,,,
91606,2019-07-30 07:53:09,4266.666667,22.67210911,22.67210911,,,,,,
91607,2019-07-30 07:53:09,4262.051282,22.67210911,22.67210911,,,,,,
91607,2019-07-30 07:53:09,4255.384615,22.67210911,22.67210911,,,,,,
91608,2019-07-30 07:53:09,4249.230769,22.67210911,22.67210911,,,,,,
91609,2019-07-30 07:53:09,4254.871795,22.67210911,22.67210911,,,,,,
91609,2019-07-30 07:53:09,4259.487179,22.67210911,22.67210911,,,,,,
91610,2019-07-30 07:53:09,4259.487179,22.67210911,22.67210911,,,,,,
91611,2019-07-30 07:53:09,4263.076923,22.67210911,22.67210911,,,,,,
91612,2019-07-30 07:53:09,4260.512821,22.67210911,22.67210911,,,,,,
91612,2019-07-30 07:53:09,4257.948718,22.67210911,22.67210911,,,,,,
91613,2019-07-30 07:53:09,4266.666667,22.67210911,22.67210911,,,,,,
91614,2019-07-30 07:53:09,4280.512821,22.67210911,22.67210911,,,,,,
91615,2019-07-30 07:53:09,4285.128205,22.67210911,22.67210911,,,,,,
91615,2019-07-30 07:53:09,4277.435897,22.67210911,22.67210911,,,,,,
91616,2019-07-30 07:53:09,4280,22.67210911,22.67210911,,,,,,
91617,2019-07-30 07:53:09,4288.717949,22.67210911,22.67210911,,,,,,
